sc,name,market,industry,trade_date,trade_seq,lookback_obs,close_price,high_price,low_price,volume,range_high,range_low,avg_volume,breakout_price,range_width_pct,breakout_pct,volume_ratio,close_fwd_20,close_fwd_60,close_fwd_120,close_fwd_240,future_max_close_240,future_min_close_60,return_20d,return_60d,return_120d,return_240d,future_max_return_240d,future_min_return_60d,label,label_reason
7581,サイゼリヤ,東証一部,小売,2019-04-11,312,120,2344,2388,2281,2645900,2255,1719,156030.000000000000,2344,0.31180919139034322280,0.0394678492239468,16.9576363519835929,2438,2633,2667,1944,2822,2339,0.04010239,0.12329352,0.13779863,-0.17064846,0.20392491,-0.00213311,neutral,advanced_but_not_enough_for_long_trend
7595,アルゴグラフィックス,東証一部,情報通信,2019-10-28,442,120,2943,2984,2816,243100,2878,2176,63965.000000000000,2943,0.32261029411764705882,0.0225851285615010,3.8005159071367154,3195,3475,3380,3245,3980,2935,0.08562691,0.18076792,0.14848794,0.10261638,0.35236154,-0.00271831,neutral,advanced_but_not_enough_for_long_trend
7596,魚力,東証一部,小売,2020-08-31,646,120,1755,1770,1709,28800,1702,1330,20815.000000000000,1755,0.27969924812030075188,0.0311398354876616,1.38361758347345664184,1701,1704,1855,2075,2149,1664,-0.03076923,-0.02905983,0.05698006,0.18233618,0.22450142,-0.05185185,neutral,advanced_but_not_enough_for_long_trend
7618,ピーシーデポコーポレーション,東証一部,小売,2019-08-14,393,120,487,490,451,754800,463,386,97405.000000000000,487,0.19948186528497409326,0.0518358531317495,7.7490888558082234,513,495,540,643,773,459,0.05338809,0.01642710,0.10882957,0.32032854,0.58726899,-0.05749487,neutral,advanced_but_not_enough_for_long_trend
7636,ハンズマン,JQS,小売,2020-06-01,581,120,1512,1523,1425,39200,1420,1150,3140.0000000000000000,1512,0.23478260869565217391,0.0647887323943662,12.4840764331210191,1465,1650,1734,1690,1990,1407,-0.03108466,0.09126984,0.14682540,0.11772487,0.31613757,-0.06944444,neutral,advanced_but_not_enough_for_long_trend
7701,島津製作所,東証一部,精密機器,2020-11-10,693,120,3485,3580,3440,2739600,3360,2661,762765.000000000000,3485,0.26268320180383314543,0.0372023809523810,3.5916697803386364,3890,4190,3825,4670,5550,3490,0.11621234,0.20229555,0.09756098,0.34002869,0.59253945,0.00143472,neutral,advanced_but_not_enough_for_long_trend
7703,川澄化学工業,東証二部,精密機器,2019-02-13,272,120,727,735,708,14500,711,609,10565.000000000000,727,0.16748768472906403941,0.0225035161744023,1.37245622337908187411,749,747,815,1161,1222,721,0.03026135,0.02751032,0.12104539,0.59697387,0.68088033,-0.00825309,neutral,advanced_but_not_enough_for_long_trend
7703,川澄化学工業,東証二部,精密機器,2019-10-08,430,120,886,890,870,29600,858,699,20090.000000000000,886,0.22746781115879828326,0.0326340326340326,1.47336983573917371827,883,1027,890,1696,1697,864,-0.00338600,0.15914221,0.00451467,0.91422122,0.91534989,-0.02483070,neutral,advanced_but_not_enough_for_long_trend
7716,ナカニシ,JQS,精密機器,2020-09-09,653,120,1803,1808,1729,279600,1742,1310,71540.000000000000,1803,0.32977099236641221374,0.0350172215843858,3.9083030472462958,1890,2163,2159,2414,2488,1818,0.04825291,0.19966722,0.19744870,0.33887965,0.37992235,0.00831947,neutral,advanced_but_not_enough_for_long_trend
7729,東京精密,東証一部,精密機器,2020-11-12,695,120,4270,4340,4130,809600,3850,3175,214420.000000000000,4270,0.21259842519685039370,0.1090909090909091,3.7757671858968380,4870,4760,4985,5150,5660,4320,0.14051522,0.11475410,0.16744731,0.20608899,0.32552693,0.01170960,neutral,advanced_but_not_enough_for_long_trend
