sc,name,market,industry,trade_date,close_price,volume,market_cap_million_yen
2156,セーラー広告,東証ST,サービス,2026-04-15,296,4000,1799
2157,コシダカホールディングス,東証PR,サービス,2026-04-15,1048,395400,87803
2158,FRONTEO,東証GR,サービス,2026-04-15,841,297100,33146
215A,タイミー,東証GR,サービス,2026-04-15,1305,866100,131450
2160,ジーエヌアイグループ,東証GR,医薬品,2026-04-15,3340,1279600,186034
2162,nmsホールディングス,東証ST,サービス,2026-04-15,393,10300,8493
2163,アルトナー,東証PR,サービス,2026-04-15,1960,28200,20831
2164,地域新聞社,東証ST,サービス,2026-04-15,314,635300,2368
2168,パソナグループ,東証PR,サービス,2026-04-15,1778,754100,71458
2169,CDS,東証ST,サービス,2026-04-15,1818,2800,12589
2170,リンクアンドモチベーション,東証PR,サービス,2026-04-15,563,384300,62458
2173,博展,東証GR,サービス,2026-04-15,981,9600,15940
2175,エス・エム・エス,東証PR,サービス,2026-04-15,1753,354900,153495
2179,成学社,東証ST,サービス,2026-04-15,766,500,4501
2180,サニーサイドアップグループ,東証ST,サービス,2026-04-15,916,13300,13921
2181,パーソルホールディングス,東証PR,サービス,2026-04-15,236.9,9877500,539762
2183,リニカル,東証ST,サービス,2026-04-15,256,6900,6333
2185,シイエム・シイ,東証ST,サービス,2026-04-15,1899,700,27277
2186,ソーバル,東証ST,サービス,2026-04-15,906,1400,7400
218A,Liberaware,東証GR,精密機器,2026-04-15,1196,671900,23463
2193,クックパッド,東証ST,サービス,2026-04-15,135,405500,10639
2195,アミタホールディングス,東証GR,サービス,2026-04-15,536,2076400,9410
2198,アイ・ケイ・ケイホールディングス,東証PR,サービス,2026-04-15,812,25400,24325
219A,Heartseed,東証GR,医薬品,2026-04-15,1923,122500,43956
2201,森永製菓,東証PR,食料品,2026-04-15,2862,248900,246452
2204,中村屋,東証ST,食料品,2026-04-15,3300,9300,19721
2206,江崎グリコ,東証PR,食料品,2026-04-15,5812,136200,397939
2207,meito,東証PR,食料品,2026-04-15,3250,90600,54118
2208,ブルボン,東証ST,食料品,2026-04-15,3200,7500,88640
2209,井村屋グループ,東証PR,食料品,2026-04-15,2389,13000,31263
220A,Faber_Company,東証ST,情報通信,2026-04-15,1002,2200,3006
2211,不二家,東証PR,食料品,2026-04-15,2443,32500,62992
2212,山崎製パン,東証PR,食料品,2026-04-15,3311,585000,729357
2215,第一屋製パン,東証ST,食料品,2026-04-15,603,3700,4179
2216,カンロ,東証ST,食料品,2026-04-15,1199,138100,55090
2217,モロゾフ,東証PR,食料品,2026-04-15,1530,22700,31465
2220,亀田製菓,東証PR,食料品,2026-04-15,1480,131300,99095
2221,岩塚製菓,東証ST,食料品,2026-04-15,3240,600,38848
2222,寿スピリッツ,東証PR,食料品,2026-04-15,2019.5,417800,314352
2224,コモ,東証ST,食料品,2026-04-15,3615,1400,13122
2226,湖池屋,東証ST,食料品,2026-04-15,4675,2300,49882
2229,カルビー,東証PR,食料品,2026-04-15,3070,266600,411164
2264,森永乳業,東証PR,食料品,2026-04-15,4891,282600,421505
2266,六甲バター,東証PR,食料品,2026-04-15,1184,14700,25399
2267,ヤクルト本社,東証PR,食料品,2026-04-15,2720,1062100,838536
2268,B-Rサーティワンアイスクリーム,東証ST,食料品,2026-04-15,4050,3900,39060
2269,明治ホールディングス,東証PR,食料品,2026-04-15,3923,1124700,1107071
2270,雪印メグミルク,東証PR,食料品,2026-04-15,3275,145000,209061
2281,プリマハム,東証PR,食料品,2026-04-15,2717,103700,137275
2282,日本ハム,東証PR,食料品,2026-04-15,7046,257500,698223
2286,林兼産業,東証ST,食料品,2026-04-15,913,39800,8135
2288,丸大食品,東証PR,食料品,2026-04-15,2342,64600,62076
228A,オプロ,東証GR,情報通信,2026-04-15,1463,4500,3412
2291,福留ハム,東証ST,食料品,2026-04-15,605,1100,2057
2292,S　Foods,東証PR,食料品,2026-04-15,2916,285600,94093
2293,滝沢ハム,東証ST,食料品,2026-04-15,2725,1200,5728
2294,柿安本店,東証PR,食料品,2026-04-15,3045,33000,37900
2296,伊藤ハム米久ホールディングス,東証PR,食料品,2026-04-15,5520,130600,317240
2300,きょくとう,東証ST,サービス,2026-04-15,504,18700,2798
2301,学情,東証PR,サービス,2026-04-15,1664,96700,25892
2303,ドーン,東証ST,情報通信,2026-04-15,2996,18600,9887
2304,CSSホールディングス,東証ST,サービス,2026-04-15,954,1100,5042
2305,スタジオアリス,東証ST,サービス,2026-04-15,1968,31200,33821
2307,クロスキャット,東証PR,情報通信,2026-04-15,983,38400,16717
2311,エプコ,東証ST,サービス,2026-04-15,814,20900,7583
2315,CAICA_DIGITAL,東証ST,情報通信,2026-04-15,78,2062100,14124
2317,システナ,東証PR,情報通信,2026-04-15,429,1229500,182703
2321,ソフトフロントホールディングス,東証GR,情報通信,2026-04-15,190,395000,9874
2323,fonfun,東証ST,情報通信,2026-04-15,354,34200,7538
